BUSINESS NAME,ADDRESS,DELIVERY INSTRUCTIONS,PICKUP TYPE,START DATE,PICKUP DAY,PAYING FROM,BIN TYPE,No. OF BINS,EXTRA PICKUP,13 May 2026,14 May 2026,15 May 2026,20 May 2026,21 May 2026,22 May 2026,27 May 2026,28 May 2026,29 May 2026
Altherm,53a Rimu Street Strandon New Plymouth,,Fortnight,14 May 2026,Thursday,14 May 2026,Bkts,1,-,,Pick Up,,,,,,Pick Up,
Columbus,5 Vickers Road New Plymouth,Ask someone in the cafe to open the back door for you,Week,14 May 2026,Thursday,14 May 2026,W-Bins,2,-,,Pick Up,,,Pick Up,,,Pick Up,
Novotel,48 Hobson Street New Plymouth,,Week,14 May 2026,Thursday,14 May 2026,W-Bins,2,-,,Pick Up,,,Pick Up,,,Pick Up,
TOI,121 Gill Street New Plymouth,Go to the back door on Davidson Street,Week,14 May 2026,Thursday,14 May 2026,Bkts,1,Paper towels,,Pick Up,,,Pick Up,,,Pick Up,
Foodbank,40 Vivian Street New Plymouth,,Fortnight,14 May 2026,Thursday,14 May 2026,W-Bins,1,-,,Pick Up,,,,,,Pick Up,
Juno Gin,16D Sunley Street New Plymouth,,Fortnight,14 May 2026,Thursday,14 May 2026,W-Bins,1,-,,Pick Up,,,,,,Pick Up,
Life Skills,8 Manadon Street Spotswood New Plymouth,,Week,14 May 2026,Thursday,14 May 2026,W-Bins,1,-,,Pick Up,,,Pick Up,,,Pick Up,
Venture Taranaki,50 Devon Street West New Plymouth,,Fortnight,14 May 2026,Thursday,14 May 2026,Bkts,1,-,,Pick Up,,,,,,Pick Up,
Top 10 Park,29 Princes Street Fitzroy New Plymouth,,Fortnight,14 May 2026,Thursday,14 May 2026,W-Bins,1,-,,Pick Up,,,,,,Pick Up,
TSB Bank Ltd - Call Centre and Branch,97 Courtenay Street New Plymouth,,Fortnight,13 May 2026,Wednesday,13 May 2026,Bkts,2,-,Pick Up,,,,Pick Up,,,,
